match_id,minute,location_y,pass_end_location,period,player,pass_recipient,pass_type,pass_length,second,timestamp,x,endx,y,endy
3895067,17,"(48.3, 74.0)","(41.2, 65.5)",1,Jeremie Frimpong,Odilon Kossonou,,11.075197,18,00:17:18.467,48.3,41.2,74.0,65.5
3895067,17,"(42.1, 65.5)","(45.1, 18.9)",1,Odilon Kossonou,Edmond Fayçal Tapsoba,,46.69647,20,00:17:20.644,42.1,45.1,65.5,18.9
3895067,17,"(56.6, 34.4)","(63.3, 27.4)",1,Granit Xhaka,Florian Wirtz,,9.689685,27,00:17:27.076,56.6,63.3,34.4,27.4
3895067,17,"(63.3, 26.8)","(60.6, 40.3)",1,Florian Wirtz,Granit Xhaka,,13.767353,27,00:17:27.639,63.3,60.6,26.8,40.3
3895067,17,"(63.0, 43.8)","(74.1, 43.8)",1,Granit Xhaka,Jonas Hofmann,,11.1,30,00:17:30.542,63.0,74.1,43.8,43.8
3895067,17,"(72.0, 65.3)","(64.7, 51.4)",1,Odilon Kossonou,Jonathan Tah,,15.700318,35,00:17:35.045,72.0,64.7,65.3,51.4
3895067,17,"(66.8, 49.4)","(68.2, 23.1)",1,Jonathan Tah,Edmond Fayçal Tapsoba,,26.337236,37,00:17:37.946,66.8,68.2,49.4,23.1
3895067,17,"(88.2, 4.0)","(81.1, 8.3)",1,Alejandro Grimaldo García,Exequiel Alejandro Palacios,,8.300602,43,00:17:43.044,88.2,81.1,4.0,8.3
3895067,17,"(81.5, 8.3)","(84.0, 2.5)",1,Exequiel Alejandro Palacios,Alejandro Grimaldo García,,6.315853,45,00:17:45.139,81.5,84.0,8.3,2.5
3895067,17,"(84.1, 3.3)","(76.2, 6.0)",1,Alejandro Grimaldo García,Victor Okoh Boniface,,8.348653,45,00:17:45.844,84.1,76.2,3.3,6.0
3895067,18,"(41.6, 3.7)","(42.8, 5.1)",1,Exequiel Alejandro Palacios,Florian Wirtz,Recovery,1.8439089,1,00:18:01.294,41.6,42.8,3.7,5.1
3895067,18,"(41.6, 18.9)","(55.7, 23.1)",1,Granit Xhaka,Florian Wirtz,,14.71224,5,00:18:05.135,41.6,55.7,18.9,23.1
3895067,18,"(61.7, 24.5)","(72.3, 30.9)",1,Florian Wirtz,Jonas Hofmann,,12.382245,7,00:18:07.319,61.7,72.3,24.5,30.9
3895067,18,"(47.4, 7.7)","(50.4, 22.2)",1,Edmond Fayçal Tapsoba,Granit Xhaka,,14.807093,15,00:18:15.469,47.4,50.4,7.7,22.2
3895067,18,"(55.0, 25.0)","(57.1, 52.6)",1,Granit Xhaka,Odilon Kossonou,,27.679775,17,00:18:17.808,55.0,57.1,25.0,52.6
3895067,18,"(78.2, 68.5)","(89.9, 74.9)",1,Odilon Kossonou,Jeremie Frimpong,,13.336041,23,00:18:23.255,78.2,89.9,68.5,74.9
3895067,18,"(108.4, 69.6)","(90.2, 67.6)",1,Jeremie Frimpong,Jonas Hofmann,,18.30956,31,00:18:31.676,108.4,90.2,69.6,67.6
3895067,18,"(91.1, 67.3)","(91.1, 52.3)",1,Jonas Hofmann,Granit Xhaka,,15.0,34,00:18:34.689,91.1,91.1,67.3,52.3
3895067,18,"(91.1, 52.3)","(98.4, 43.6)",1,Granit Xhaka,Florian Wirtz,,11.356936,37,00:18:37.441,91.1,98.4,52.3,43.6
3895067,19,"(43.9, 39.7)","(56.6, 52.0)",1,Jonathan Tah,Jeremie Frimpong,Recovery,17.679932,6,00:19:06.753,43.9,56.6,39.7,52.0
3895067,25,"(52.0, 38.5)","(59.8, 37.6)",1,Exequiel Alejandro Palacios,Florian Wirtz,,7.8517513,30,00:25:30.603,52.0,59.8,38.5,37.6
3895067,25,"(61.7, 34.2)","(63.3, 22.7)",1,Florian Wirtz,Granit Xhaka,,11.610771,32,00:25:32.425,61.7,63.3,34.2,22.7
3895067,25,"(63.8, 21.0)","(70.2, 3.1)",1,Granit Xhaka,Alejandro Grimaldo García,,19.009735,34,00:25:34.426,63.8,70.2,21.0,3.1
3895067,25,"(66.2, 5.8)","(49.5, 17.8)",1,Alejandro Grimaldo García,Edmond Fayçal Tapsoba,,20.56429,36,00:25:36.530,66.2,49.5,5.8,17.8
3895067,25,"(56.8, 33.5)","(54.8, 42.7)",1,Edmond Fayçal Tapsoba,Jonathan Tah,,9.414882,42,00:25:42.899,56.8,54.8,33.5,42.7
3895067,25,"(63.3, 51.4)","(66.8, 61.1)",1,Jonathan Tah,Odilon Kossonou,,10.312129,46,00:25:46.683,63.3,66.8,51.4,61.1
3895067,25,"(70.2, 60.2)","(71.1, 48.5)",1,Odilon Kossonou,Exequiel Alejandro Palacios,,11.734565,49,00:25:49.580,70.2,71.1,60.2,48.5
3895067,25,"(71.1, 48.5)","(85.5, 53.3)",1,Exequiel Alejandro Palacios,Jeremie Frimpong,,15.178933,51,00:25:51.828,71.1,85.5,48.5,53.3
3895067,27,"(52.7, 39.7)","(56.8, 57.9)",1,Jonathan Tah,Odilon Kossonou,,18.656097,3,00:27:03.820,52.7,56.8,39.7,57.9
3895067,27,"(63.0, 60.9)","(54.1, 52.0)",1,Odilon Kossonou,Jonathan Tah,,12.586501,7,00:27:07.265,63.0,54.1,60.9,52.0
3895067,27,"(55.7, 50.5)","(65.6, 42.7)",1,Jonathan Tah,Granit Xhaka,,12.603571,9,00:27:09.718,55.7,65.6,50.5,42.7
3895067,27,"(65.9, 42.7)","(55.9, 44.1)",1,Granit Xhaka,Jonathan Tah,,10.097525,10,00:27:10.810,65.9,55.9,42.7,44.1
3895067,27,"(56.2, 44.1)","(67.4, 39.4)",1,Jonathan Tah,Granit Xhaka,,12.146193,12,00:27:12.380,56.2,67.4,44.1,39.4
3895067,27,"(67.4, 39.4)","(80.8, 46.8)",1,Granit Xhaka,Jonas Hofmann,,15.307514,13,00:27:13.742,67.4,80.8,39.4,46.8
3895067,27,"(74.6, 58.2)","(83.8, 65.8)",1,Jonas Hofmann,Odilon Kossonou,,11.933147,17,00:27:17.267,74.6,83.8,58.2,65.8
3895067,27,"(90.2, 64.6)","(90.5, 51.7)",1,Odilon Kossonou,Granit Xhaka,,12.903488,20,00:27:20.021,90.2,90.5,64.6,51.7
3895067,27,"(90.5, 51.7)","(89.9, 46.2)",1,Granit Xhaka,Florian Wirtz,,5.5326304,20,00:27:20.297,90.5,89.9,51.7,46.2
3895067,27,"(89.6, 46.8)","(94.9, 51.2)",1,Florian Wirtz,Granit Xhaka,,6.8883963,20,00:27:20.747,89.6,94.9,46.8,51.2
3895067,27,"(56.2, 52.0)","(28.0, 39.7)",1,Jonathan Tah,Lukáš Hrádecký,,30.765728,26,00:27:26.418,56.2,28.0,52.0,39.7
3895067,27,"(28.3, 38.5)","(42.8, 26.5)",1,Lukáš Hrádecký,Edmond Fayçal Tapsoba,,18.82153,29,00:27:29.700,28.3,42.8,38.5,26.5
3895067,27,"(48.8, 23.1)","(53.3, 37.6)",1,Edmond Fayçal Tapsoba,Granit Xhaka,,15.182226,33,00:27:33.418,48.8,53.3,23.1,37.6
3895067,27,"(55.7, 37.4)","(62.6, 60.9)",1,Granit Xhaka,Odilon Kossonou,,24.492039,35,00:27:35.520,55.7,62.6,37.4,60.9
3895067,27,"(76.7, 12.5)","(72.3, 27.1)",1,Exequiel Alejandro Palacios,Granit Xhaka,,15.248607,45,00:27:45.488,76.7,72.3,12.5,27.1
3895067,27,"(72.3, 27.1)","(87.0, 22.2)",1,Granit Xhaka,Exequiel Alejandro Palacios,,15.49516,47,00:27:47.277,72.3,87.0,27.1,22.2
